time_ini,time_end,duration_seg,duration_percent,RPCGR_SColTempo_0001_delta_tempo,ref_2017dez,Equipamento SW01B_MSOMCGR,Equipamento RD04_MSRPCGR,OMCGR_SysUpDeslig,Equipamento RD04_MSOMCGR,Equipamento RD02_MSOMCGR,Equipamento MSOMCGR_SWL3,OMCGR_nOK_0001,Equipamento RD03_MSOMCGR,Equipamento RD01_MSOMCGR,Equipamento RD01_MSRPCGR,ref_2017nov,ref_Periodo,Equipamento SW01A_MSOMCGR,OMCGR_SColTempo_0001_delta_tempo,RPCGR_SysUpDeslig
"2017-11-14 08:31:45","2017-11-14 08:32:17",32.0,1.53045614911E-06,240, , , , , , , , , , , ,1,1, , , 
"2017-11-14 08:32:17","2017-11-15 23:42:21",141004.0,0.00674376371402, , , , , , , , , , , , ,1,1, , , 
"2017-11-15 23:42:21","2017-11-15 23:42:49",28.0,1.33914913047E-06,253, , , , , , , , , , , ,1,1, , , 
"2017-11-15 23:42:49","2017-11-15 23:46:14",205.0,9.80448470522E-06,253, , , , , , , , , , , ,1,1, ,205, 
"2017-11-15 23:46:14","2017-11-15 23:46:34",20.0,9.56535093192E-07,253, , , , , , , , , , , ,1,1, , , 
"2017-11-15 23:46:34","2017-11-16 00:24:49",2295.0,0.000109762401944, , , , , , , , , , , , ,1,1, , , 
"2017-11-16 00:24:49","2017-11-16 00:25:28",39.0,1.86524343172E-06, , , , , , , , , , , , ,1,1, ,234, 
"2017-11-16 00:25:28","2017-11-16 00:28:43",195.0,9.32621715862E-06,232, , , , , , , , , , , ,1,1, ,234, 
"2017-11-16 00:28:43","2017-11-16 00:29:20",37.0,1.76958992241E-06,232, , , , , , , , , , , ,1,1, , , 
"2017-11-16 00:29:20","2017-11-16 02:15:20",6360.0,0.000304178159635, , , , , , , , , , , , ,1,1, , , 
"2017-11-16 02:15:20","2017-11-16 02:15:51",31.0,1.48262939445E-06,249, , , , , , , , , , , ,1,1, , , 
"2017-11-16 02:15:51","2017-11-16 02:19:29",218.0,1.04262325158E-05,249, , , , , , , , , , , ,1,1, ,658, 
"2017-11-16 02:19:29","2017-11-16 02:26:49",440.0,2.10437720502E-05, , , , , , , , , , , , ,1,1, ,658, 
"2017-11-16 02:26:49","2017-11-16 03:01:49",2100.0,0.000100436184785, , , , , , , , , , , , ,1,1, , , 
"2017-11-16 03:01:49","2017-11-16 03:04:56",187.0,8.94360312135E-06, , , , , , , , , , , , ,1,1, ,187, 
"2017-11-16 03:04:56","2017-11-16 04:46:49",6113.0,0.000292364951234, , , , , , , , , , , , ,1,1, , , 
"2017-11-16 04:46:49","2017-11-16 04:50:55",246.0,1.17653816463E-05, , , , , , , , , , , , ,1,1, ,246, 
"2017-11-16 04:50:55","2017-11-16 18:19:50",48535.0,0.0023212715374, , , , , , , , , , , , ,1,1, , , 
"2017-11-16 18:19:50","2017-11-16 18:20:22",32.0,1.53045614911E-06, , , , , , , , , , , , ,1,1, ,716, 
"2017-11-16 18:20:22","2017-11-16 18:31:46",684.0,3.27135001872E-05,716, , , , , , , , , , , ,1,1, ,716, 
"2017-11-16 18:31:46","2017-11-16 18:32:18",32.0,1.53045614911E-06,716, , , , , , , , , , , ,1,1, , , 
"2017-11-16 18:32:18","2017-11-20 17:48:25",342967.0,0.0164029985653, , , , , , , , , , , , ,1,1, , , 
"2017-11-20 17:48:25","2017-11-20 17:48:53",28.0,1.33914913047E-06,180, , , , , , , , , , , ,1,1, , , 
"2017-11-20 17:48:53","2017-11-20 17:51:25",152.0,7.26966670826E-06,180, , , , , , , , , , , ,1,1, ,180, 
"2017-11-20 17:51:25","2017-11-20 17:51:53",28.0,1.33914913047E-06, , , , , , , , , , , , ,1,1, ,180, 
"2017-11-20 17:51:53","2017-11-21 00:00:53",22140.0,0.00105888434816, , , , , , , , , , , , ,1,1, , , 
